pc_time_iso,t_us,status1,status2,status3,ch1,ch2
2026-04-01T11:44:56.236,1398960,192,0,0,-177039,1674108
2026-04-01T11:44:56.236,1401764,192,0,0,-8388608,-6077162
2026-04-01T11:44:56.240,1404740,192,0,0,-5151478,-5611726
2026-04-01T11:44:56.244,1407716,192,0,0,4777729,3203563
2026-04-01T11:44:56.245,1410520,192,0,0,6068948,2589421
2026-04-01T11:44:56.249,1413324,192,0,0,1806431,1990375
2026-04-01T11:44:56.253,1416128,192,0,0,736394,5413999
2026-04-01T11:44:56.257,1418848,192,0,0,-8388608,-2955246
2026-04-01T11:44:56.257,1421824,192,0,0,-6230612,-7110366
2026-04-01T11:44:56.261,1424800,192,0,0,3646170,1286363
2026-04-01T11:44:56.265,1427604,192,0,0,2180076,1942426
2026-04-01T11:44:56.265,1430408,192,0,0,1682948,1578986
2026-04-01T11:44:56.269,1433216,192,0,0,-1239746,167527
2026-04-01T11:44:56.273,1436020,192,0,0,-8200332,-8388608
2026-04-01T11:44:56.273,1438996,192,0,0,-6915969,-8194211
2026-04-01T11:44:56.277,1441968,192,0,0,7203034,4205615
2026-04-01T11:44:56.281,1444776,192,0,0,2582572,1999975
2026-04-01T11:44:56.282,1447580,192,0,0,1534248,1884160
2026-04-01T11:44:56.286,1450384,192,0,0,-5664636,-3557094
2026-04-01T11:44:56.290,1453360,192,0,0,-7831017,-8184155
2026-04-01T11:44:56.294,1456336,192,0,0,706555,-566573
2026-04-01T11:44:56.294,1459056,192,0,0,7177664,4466738
2026-04-01T11:44:56.298,1461860,192,0,0,2960971,2135807
2026-04-01T11:44:56.302,1464664,192,0,0,117961,1242119
2026-04-01T11:44:56.302,1467384,192,0,0,-8066470,-3019710
2026-04-01T11:44:56.306,1470360,192,0,0,-7081547,-8388608
2026-04-01T11:44:56.310,1473336,192,0,0,-1439394,-1929311
2026-04-01T11:44:56.310,1476308,192,0,0,3775177,2562823
2026-04-01T11:44:56.314,1479116,192,0,0,1555879,1512917
2026-04-01T11:44:56.318,1481920,192,0,0,1020011,1593203
2026-04-01T11:44:56.322,1484724,192,0,0,-8388608,-8207516
2026-04-01T11:44:56.322,1487700,192,0,0,-7478826,-8388608
2026-04-01T11:44:56.326,1490676,192,0,0,5665129,4283952
2026-04-01T11:44:56.330,1493480,192,0,0,4380358,2670483
2026-04-01T11:44:56.331,1496284,192,0,0,1575684,1555566
2026-04-01T11:44:56.335,1499088,192,0,0,-1230676,5084724
2026-04-01T11:44:56.339,1501980,192,0,0,-8388608,-6325202
2026-04-01T11:44:56.343,1504956,192,0,0,-4040932,-5356178
2026-04-01T11:44:56.343,1507928,192,0,0,6052451,3012689
2026-04-01T11:44:56.347,1510736,192,0,0,5486066,2633993
2026-04-01T11:44:56.351,1513548,192,0,0,1639655,2067136
2026-04-01T11:44:56.351,1516344,192,0,0,-3724582,4448674
2026-04-01T11:44:56.356,1519236,192,0,0,-7839793,-8388608
2026-04-01T11:44:56.359,1522208,192,0,0,-5366952,-6588613
2026-04-01T11:44:56.359,1525184,192,0,0,4510643,2046671
2026-04-01T11:44:56.363,1527988,192,0,0,1819789,1347161
2026-04-01T11:44:56.367,1530796,192,0,0,1858999,1840711
2026-04-01T11:44:56.371,1533600,192,0,0,-8388608,-6149487
2026-04-01T11:44:56.372,1536576,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.376,1539548,192,0,0,-6828790,-7347289
2026-04-01T11:44:56.380,1542524,192,0,0,6688195,4019160
2026-04-01T11:44:56.380,1545340,192,0,0,2034913,1791546
2026-04-01T11:44:56.384,1548136,192,0,0,-851347,861204
2026-04-01T11:44:56.388,1550856,192,0,0,-8388608,-4499454
2026-04-01T11:44:56.388,1553828,192,0,0,-7257373,-8388608
2026-04-01T11:44:56.392,1556804,192,0,0,3404670,31490
2026-04-01T11:44:56.396,1559440,192,0,0,6919594,4670914
2026-04-01T11:44:56.396,1562244,192,0,0,1646079,1399688
2026-04-01T11:44:56.400,1565048,192,0,0,825283,3281831
2026-04-01T11:44:56.404,1567776,192,0,0,-6697898,453635
2026-04-01T11:44:56.408,1570576,192,0,0,2956369,-8388608
2026-04-01T11:44:56.408,1573464,192,0,0,3684150,-1237445
2026-04-01T11:44:56.412,1576352,192,0,0,6842213,5164329
2026-04-01T11:44:56.416,1579160,192,0,0,1444029,1387494
2026-04-01T11:44:56.417,1581964,192,0,0,384491,1589266
2026-04-01T11:44:56.421,1584684,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.425,1587660,192,0,0,1165974,-8388608
2026-04-01T11:44:56.425,1590548,192,0,0,3974545,-2389225
2026-04-01T11:44:56.429,1593448,192,0,0,3680623,2266144
2026-04-01T11:44:56.433,1596244,192,0,0,1542596,1436172
2026-04-01T11:44:56.437,1599048,192,0,0,-3134772,3928233
2026-04-01T11:44:56.437,1601940,192,0,0,-8388608,-7756105
2026-04-01T11:44:56.441,1604916,192,0,0,-8097349,-8388608
2026-04-01T11:44:56.445,1607888,192,0,0,6444633,4470518
2026-04-01T11:44:56.445,1610692,192,0,0,4560376,2561919
2026-04-01T11:44:56.449,1613500,192,0,0,1892682,1787095
2026-04-01T11:44:56.453,1616304,192,0,0,-4977805,-1507460
2026-04-01T11:44:56.454,1619280,192,0,0,-8388608,-8045866
2026-04-01T11:44:56.457,1622256,192,0,0,-5327835,-6205819
2026-04-01T11:44:56.462,1625228,192,0,0,5841482,3402950
2026-04-01T11:44:56.466,1628036,192,0,0,1670235,1461069
2026-04-01T11:44:56.466,1630840,192,0,0,2220767,2194205
2026-04-01T11:44:56.470,1633644,192,0,0,147524,4886533
2026-04-01T11:44:56.474,1636364,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.474,1639340,192,0,0,-6626629,-7209265
2026-04-01T11:44:56.478,1642316,192,0,0,5822514,3623974
2026-04-01T11:44:56.482,1645120,192,0,0,1613964,1654503
2026-04-01T11:44:56.482,1647924,192,0,0,1578414,1798574
2026-04-01T11:44:56.486,1650728,192,0,0,-8388608,-5483824
2026-04-01T11:44:56.490,1653704,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.494,1656680,192,0,0,2422632,1908743
2026-04-01T11:44:56.494,1659484,192,0,0,6548802,4541254
2026-04-01T11:44:56.498,1662288,192,0,0,2052926,1945217
2026-04-01T11:44:56.502,1665096,192,0,0,-1564716,-11199
2026-04-01T11:44:56.503,1667900,192,0,0,-8388608,-4907124
2026-04-01T11:44:56.507,1670876,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.511,1673848,192,0,0,1263272,498974
2026-04-01T11:44:56.511,1676568,192,0,0,7024137,4927026
2026-04-01T11:44:56.515,1679376,192,0,0,1664346,1711805
2026-04-01T11:44:56.519,1682180,192,0,0,-628929,1094142
2026-04-01T11:44:56.523,1684984,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.523,1687960,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.527,1690936,192,0,0,-714302,-709584
2026-04-01T11:44:56.531,1693740,192,0,0,2731152,2074674
2026-04-01T11:44:56.531,1696544,192,0,0,1371077,1474069
2026-04-01T11:44:56.535,1699348,192,0,0,-7949237,-3237780
2026-04-01T11:44:56.539,1702324,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.539,1705300,192,0,0,-8339456,57725
2026-04-01T11:44:56.543,1708020,192,0,0,7151854,4875262
2026-04-01T11:44:56.547,1710824,192,0,0,3581711,2506883
2026-04-01T11:44:56.548,1713628,192,0,0,2447505,2905806
2026-04-01T11:44:56.552,1716436,192,0,0,-2913945,3551104
2026-04-01T11:44:56.556,1719332,192,0,0,-8388608,-8123105
2026-04-01T11:44:56.560,1722300,192,0,0,-3993827,-4616446
2026-04-01T11:44:56.560,1725276,192,0,0,6692357,3915563
2026-04-01T11:44:56.564,1728080,192,0,0,1554036,1615176
2026-04-01T11:44:56.568,1730884,192,0,0,1686863,1576824
2026-04-01T11:44:56.568,1733700,192,0,0,-4925366,-1076326
2026-04-01T11:44:56.572,1736664,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.576,1739640,192,0,0,-5764427,-6183637
2026-04-01T11:44:56.580,1742612,192,0,0,4997820,3452161
2026-04-01T11:44:56.580,1745420,192,0,0,1547032,1788565
2026-04-01T11:44:56.584,1748224,192,0,0,2052462,2379968
2026-04-01T11:44:56.588,1751028,192,0,0,-8388608,-5253762
2026-04-01T11:44:56.589,1754004,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.593,1756980,192,0,0,3765245,3852118
2026-04-01T11:44:56.597,1759784,192,0,0,5717329,3956011
2026-04-01T11:44:56.597,1762588,192,0,0,49152,6480
2026-04-01T11:44:56.601,1764968,192,0,0,-3154137,-464431
2026-04-01T11:44:56.605,1767860,192,0,0,-8388608,-6050815
2026-04-01T11:44:56.605,1770836,192,0,0,-7809046,-8284059
2026-04-01T11:44:56.609,1773808,192,0,0,2534022,2663708
2026-04-01T11:44:56.613,1776616,192,0,0,6241014,4328251
2026-04-01T11:44:56.617,1779420,192,0,0,1699329,1765051
2026-04-01T11:44:56.617,1782224,192,0,0,1723726,5372532
2026-04-01T11:44:56.621,1785028,192,0,0,-7723811,-1340166
2026-04-01T11:44:56.625,1788012,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.625,1790984,192,0,0,1896697,1521730
2026-04-01T11:44:56.629,1793784,192,0,0,2307771,1962535
2026-04-01T11:44:56.633,1796588,192,0,0,1528743,1773589
2026-04-01T11:44:56.634,1799396,192,0,0,-796159,49152
2026-04-01T11:44:56.638,1802028,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.642,1805004,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.646,1807980,192,0,0,7236733,4441794
2026-04-01T11:44:56.646,1810784,192,0,0,2728988,2015128
2026-04-01T11:44:56.650,1813600,192,0,0,1319530,1688254
2026-04-01T11:44:56.654,1816396,192,0,0,-4940882,1519813
2026-04-01T11:44:56.654,1819284,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.658,1822260,192,0,0,-2173026,-2785241
2026-04-01T11:44:56.662,1825236,192,0,0,7175348,4945486
2026-04-01T11:44:56.662,1828040,192,0,0,3558032,2580480
2026-04-01T11:44:56.666,1830844,192,0,0,659732,1685356
2026-04-01T11:44:56.670,1833564,192,0,0,-7271234,-1850087
2026-04-01T11:44:56.674,1836540,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.675,1839516,192,0,0,-4114386,-4939247
2026-04-01T11:44:56.679,1842488,192,0,0,4259232,2852269
2026-04-01T11:44:56.683,1845304,192,0,0,1642624,1589552
2026-04-01T11:44:56.683,1848100,192,0,0,1431822,2148611
2026-04-01T11:44:56.687,1850904,192,0,0,-8388608,-8137478
2026-04-01T11:44:56.691,1853880,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.691,1856856,192,0,0,5663761,5369909
2026-04-01T11:44:56.695,1859668,192,0,0,4763416,3465515
2026-04-01T11:44:56.699,1862464,192,0,0,1433885,1786433
2026-04-01T11:44:56.703,1865268,192,0,0,-5459389,-1188996
2026-04-01T11:44:56.703,1868244,192,0,0,-8388608,-7399389
2026-04-01T11:44:56.707,1871220,192,0,0,-7335007,-7433302
2026-04-01T11:44:56.711,1874196,192,0,0,3115773,4168057
2026-04-01T11:44:56.712,1877004,192,0,0,5280626,3401231
2026-04-01T11:44:56.715,1879804,192,0,0,2068008,1831203
2026-04-01T11:44:56.720,1882608,192,0,0,725664,90566
2026-04-01T11:44:56.720,1885160,192,0,0,-8388608,-6609175
2026-04-01T11:44:56.724,1888136,192,0,0,-8107728,-8313051
2026-04-01T11:44:56.728,1891108,192,0,0,3330065,3224766
2026-04-01T11:44:56.732,1893916,192,0,0,1957699,1826074
2026-04-01T11:44:56.732,1896720,192,0,0,1835387,1933221
2026-04-01T11:44:56.736,1899532,192,0,0,-2074475,95819
2026-04-01T11:44:56.740,1902244,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.740,1905220,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.744,1908196,192,0,0,7027293,4182184
2026-04-01T11:44:56.748,1911000,192,0,0,2320507,1779364
2026-04-01T11:44:56.749,1913804,192,0,0,1631658,1473566
2026-04-01T11:44:56.752,1916608,192,0,0,-8388608,-4139949
2026-04-01T11:44:56.756,1919584,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.760,1922560,192,0,0,-797669,-1429279
2026-04-01T11:44:56.761,1925448,192,0,0,6974899,4750659
2026-04-01T11:44:56.765,1928256,192,0,0,2620798,2237958
2026-04-01T11:44:56.769,1931060,192,0,0,-206877,1246175
2026-04-01T11:44:56.769,1933864,192,0,0,-8388608,-2886867
2026-04-01T11:44:56.773,1936840,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.777,1939816,192,0,0,-2386489,-2935274
2026-04-01T11:44:56.777,1942788,192,0,0,3112498,2466538
2026-04-01T11:44:56.781,1945596,192,0,0,1516685,1718158
2026-04-01T11:44:56.785,1948400,192,0,0,792486,1860034
2026-04-01T11:44:56.789,1951120,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.789,1954096,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.793,1957068,192,0,0,6546703,5734776
2026-04-01T11:44:56.797,1959872,192,0,0,3787041,3007028
2026-04-01T11:44:56.797,1962680,192,0,0,1577043,1784011
2026-04-01T11:44:56.802,1965484,192,0,0,-6557066,-2150691
2026-04-01T11:44:56.806,1968460,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.806,1971436,192,0,0,-5080294,-5223281
2026-04-01T11:44:56.810,1974408,192,0,0,6255193,4924343
2026-04-01T11:44:56.814,1977216,192,0,0,4521722,2880770
2026-04-01T11:44:56.818,1980020,192,0,0,1409977,1637353
2026-04-01T11:44:56.818,1982824,192,0,0,-5080610,-1334162
2026-04-01T11:44:56.822,1985800,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.826,1988776,192,0,0,-6640634,-6733390
2026-04-01T11:44:56.826,1991748,192,0,0,5422658,4515071
2026-04-01T11:44:56.830,1994556,192,0,0,1487336,1749701
2026-04-01T11:44:56.834,1997360,192,0,0,1640864,1719398
2026-04-01T11:44:56.838,2000164,192,0,0,-8388608,-7084927
2026-04-01T11:44:56.838,2003140,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.842,2006124,192,0,0,-8251718,393216
2026-04-01T11:44:56.846,2008920,192,0,0,6107538,3724238
2026-04-01T11:44:56.847,2011724,192,0,0,1880783,1647405
2026-04-01T11:44:56.851,2014528,192,0,0,839245,4936670
2026-04-01T11:44:56.855,2017248,192,0,0,-8305949,-3157744
2026-04-01T11:44:56.855,2020224,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.859,2023200,192,0,0,1892304,1006529
2026-04-01T11:44:56.863,2026004,192,0,0,6537045,4392519
2026-04-01T11:44:56.863,2028808,192,0,0,1496388,1714899
2026-04-01T11:44:56.867,2031616,192,0,0,-2048497,222617
2026-04-01T11:44:56.871,2034420,192,0,0,-8388608,-4497336
2026-04-01T11:44:56.875,2037396,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.875,2040368,192,0,0,865484,733646
2026-04-01T11:44:56.879,2043004,192,0,0,196608,37163
2026-04-01T11:44:56.883,2045556,192,0,0,1601246,1888416
2026-04-01T11:44:56.883,2048360,192,0,0,334323,1356700
2026-04-01T11:44:56.888,2051084,192,0,0,-8388608,-3712159
2026-04-01T11:44:56.892,2054056,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.892,2057028,192,0,0,-1444241,-938657
2026-04-01T11:44:56.896,2059920,192,0,0,2917388,2133850
2026-04-01T11:44:56.900,2062724,192,0,0,1455361,1577611
2026-04-01T11:44:56.900,2065528,192,0,0,-4194304,-8333826
2026-04-01T11:44:56.904,2068512,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.908,2071480,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.912,2074456,192,0,0,7258260,5351120
2026-04-01T11:44:56.912,2077260,192,0,0,3428958,2498136
2026-04-01T11:44:56.916,2080064,192,0,0,2241389,1776516
2026-04-01T11:44:56.920,2082868,192,0,0,-3542039,-2252378
2026-04-01T11:44:56.921,2085844,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.924,2088820,192,0,0,-5052169,-4942491
2026-04-01T11:44:56.928,2091796,192,0,0,6579563,4746498
2026-04-01T11:44:56.932,2094600,192,0,0,1564961,1490040
